iter	Passed	Remaining
0	315	315042
1	347	173563
2	370	123265
3	391	97518
4	413	82234
5	435	72092
6	457	64852
7	478	59331
8	499	54947
9	520	51509
10	541	48690
11	562	46329
12	583	44277
13	603	42529
14	626	41120
15	647	39818
16	670	38751
17	692	37763
18	712	36800
19	735	36049
20	758	35346
21	778	34602
22	799	33941
23	830	33763
24	854	33314
25	876	32821
26	896	32293
27	917	31851
28	938	31410
29	960	31044
30	982	30704
31	1002	30331
32	1022	29950
33	1042	29608
34	1064	29336
35	1085	29055
36	1104	28758
37	1128	28579
38	1149	28312
39	1169	28057
40	1192	27884
41	1211	27627
42	1231	27409
43	1252	27220
44	1274	27056
45	1296	26878
46	1319	26757
47	1339	26574
48	1359	26388
49	1380	26238
50	1402	26104
51	1422	25935
52	1441	25765
53	1463	25643
54	1484	25507
55	1505	25380
56	1525	25234
57	1550	25186
58	1570	25042
59	1590	24912
60	1610	24792
61	1632	24702
62	1656	24637
63	1684	24629
64	1706	24547
65	1732	24516
66	1752	24406
67	1773	24310
68	1795	24221
69	1818	24160
70	1841	24095
71	1862	24006
72	1882	23905
73	1901	23800
74	1922	23708
75	1945	23658
76	1964	23553
77	1986	23481
78	2006	23390
79	2028	23326
80	2050	23265
81	2070	23176
82	2090	23097
83	2109	23008
84	2130	22934
85	2150	22852
86	2171	22791
87	2190	22704
88	2210	22625
89	2231	22559
90	2252	22502
91	2275	22460
92	2296	22394
93	2316	22328
94	2336	22258
95	2362	22249
96	2383	22193
97	2404	22129
98	2425	22076
99	2445	22006
100	2464	21935
101	2483	21864
102	2506	21827
103	2526	21766
104	2545	21700
105	2565	21636
106	2585	21578
107	2606	21525
108	2625	21462
109	2645	21404
110	2664	21339
111	2685	21291
112	2705	21236
113	2725	21183
114	2744	21123
115	2770	21110
116	2789	21051
117	2814	21038
118	2836	20998
119	2855	20940
120	2875	20889
121	2896	20848
122	2917	20798
123	2937	20749
124	2956	20696
125	2976	20644
126	2995	20591
127	3015	20541
128	3036	20499
129	3055	20449
130	3074	20395
131	3095	20352
132	3114	20305
133	3135	20266
134	3161	20254
135	3180	20207
136	3200	20162
137	3222	20126
138	3243	20089
139	3263	20046
140	3283	20001
141	3305	19975
142	3326	19935
143	3347	19901
144	3369	19868
145	3391	19837
146	3411	19795
147	3432	19761
148	3451	19710
149	3471	19669
150	3490	19626
151	3509	19581
152	3530	19546
153	3549	19501
154	3573	19480
155	3595	19450
156	3614	19409
157	3634	19368
158	3653	19324
159	3673	19285
160	3695	19259
161	3717	19231
162	3737	19192
163	3767	19205
164	3792	19193
165	3815	19171
166	3835	19130
167	3855	19094
168	3875	19056
169	3896	19023
170	3915	18984
171	3936	18951
172	3956	18912
173	3977	18883
174	3998	18851
175	4021	18825
176	4040	18786
177	4059	18745
178	4078	18708
179	4100	18680
180	4122	18653
181	4141	18613
182	4160	18575
183	4181	18542
184	4200	18503
185	4220	18472
186	4241	18442
187	4262	18411
188	4281	18373
189	4302	18342
190	4321	18304
191	4342	18272
192	4364	18247
193	4386	18223
194	4408	18198
195	4429	18169
196	4449	18137
197	4468	18101
198	4490	18074
199	4510	18040
200	4529	18006
201	4550	17974
202	4570	17942
203	4590	17910
204	4609	17875
205	4627	17836
206	4647	17802
207	4670	17785
208	4691	17754
209	4710	17721
210	4730	17688
211	4751	17661
212	4772	17632
213	4794	17611
214	4816	17586
215	4835	17552
216	4855	17518
217	4878	17500
218	4898	17468
219	4917	17433
220	4937	17402
221	4956	17369
222	4976	17338
223	4997	17311
224	5016	17278
225	5044	17274
226	5063	17242
227	5082	17209
228	5105	17187
229	5124	17156
230	5144	17125
231	5164	17095
232	5188	17081
233	5211	17061
234	5234	17039
235	5253	17008
236	5273	16977
237	5293	16947
238	5318	16933
239	5339	16909
240	5359	16877
241	5380	16852
242	5403	16833
243	5422	16801
244	5442	16772
245	5463	16744
246	5483	16717
247	5504	16690
248	5525	16664
249	5546	16639
250	5567	16613
251	5586	16583
252	5610	16565
253	5630	16538
254	5650	16508
255	5670	16479
256	5692	16456
257	5711	16427
258	5733	16404
259	5756	16382
260	5777	16358
261	5797	16330
262	5820	16310
263	5840	16281
264	5860	16254
265	5879	16223
266	5899	16195
267	5920	16171
268	5941	16146
269	5961	16118
270	5982	16092
271	6005	16073
272	6026	16047
273	6047	16023
274	6067	15995
275	6087	15968
276	6106	15939
277	6126	15911
278	6150	15893
279	6170	15866
280	6190	15838
281	6212	15817
282	6232	15790
283	6254	15767
284	6274	15741
285	6294	15715
286	6315	15688
287	6334	15659
288	6356	15638
289	6379	15617
290	6398	15589
291	6423	15573
292	6442	15546
293	6462	15518
294	6482	15493
295	6504	15470
296	6524	15442
297	6543	15414
298	6564	15390
299	6587	15369
300	6607	15343
301	6626	15315
302	6645	15287
303	6669	15268
304	6689	15244
305	6710	15218
306	6731	15196
307	6751	15167
308	6770	15140
309	6790	15113
310	6818	15105
311	6837	15077
312	6857	15051
313	6878	15028
314	6898	15002
315	6920	14979
316	6941	14956
317	6962	14932
318	6982	14905
319	7002	14879
320	7023	14856
321	7044	14832
322	7063	14805
323	7083	14778
324	7102	14751
325	7123	14727
326	7144	14703
327	7163	14676
328	7184	14652
329	7204	14627
330	7228	14608
331	7247	14582
